epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,765.196,0.53628,0.34584,0.92626,0.94881,0.95865,0.98112,0.87133,0.51715,0.36249,0.90999,0.0006734,0.0006734,0.0006734
69,776.624,0.52306,0.33741,0.91284,0.94575,0.95474,0.97769,0.8631,0.5237,0.36794,0.92148,0.0006536,0.0006536,0.0006536
70,786.158,0.53105,0.34484,0.9229,0.94321,0.94828,0.97154,0.86376,0.51856,0.38115,0.91347,0.0006338,0.0006338,0.0006338
71,796.031,0.54398,0.35445,0.93096,0.95026,0.947,0.97437,0.86636,0.53596,0.38349,0.9301,0.000614,0.000614,0.000614
72,806.363,0.50235,0.32321,0.9063,0.95224,0.95043,0.97378,0.85737,0.54707,0.37805,0.93475,0.0005942,0.0005942,0.0005942
73,816.273,0.51586,0.3381,0.91844,0.93979,0.95905,0.97069,0.85068,0.56364,0.37144,0.94164,0.0005744,0.0005744,0.0005744
74,825.967,0.51723,0.33993,0.91564,0.95221,0.95043,0.97519,0.86208,0.54084,0.36754,0.94006,0.0005546,0.0005546,0.0005546
75,835.906,0.5246,0.3413,0.92286,0.95104,0.95259,0.9778,0.87515,0.52647,0.36265,0.92796,0.0005348,0.0005348,0.0005348
76,846.649,0.50084,0.32492,0.90662,0.96076,0.94975,0.97906,0.86705,0.54647,0.35866,0.93228,0.000515,0.000515,0.000515
77,857.066,0.52804,0.33922,0.91636,0.94793,0.95905,0.97701,0.87087,0.52326,0.36898,0.9275,0.0004952,0.0004952,0.0004952
78,865.755,0.52912,0.3377,0.9164,0.94632,0.95043,0.97446,0.86338,0.54075,0.37172,0.93754,0.0004754,0.0004754,0.0004754
79,875.377,0.49487,0.32241,0.90633,0.95316,0.95474,0.97521,0.86037,0.53312,0.36858,0.9315,0.0004556,0.0004556,0.0004556
80,886.251,0.5033,0.32083,0.90756,0.95054,0.95264,0.97775,0.86696,0.53137,0.36915,0.93314,0.0004358,0.0004358,0.0004358
81,896.678,0.5208,0.3442,0.92396,0.9597,0.95474,0.97824,0.86617,0.53013,0.37192,0.93112,0.000416,0.000416,0.000416
82,907.707,0.50534,0.33362,0.91096,0.95326,0.95474,0.97871,0.87449,0.53456,0.36216,0.93376,0.0003962,0.0003962,0.0003962
83,918.687,0.51474,0.34221,0.9227,0.96074,0.95259,0.98178,0.87545,0.51853,0.34923,0.92121,0.0003764,0.0003764,0.0003764
84,929.596,0.51543,0.33589,0.91928,0.96604,0.95259,0.98143,0.87411,0.52942,0.35333,0.92872,0.0003566,0.0003566,0.0003566
